escola;genero;ano;enredo;letra
Dragões do Castelo;Samba-Enredo;2018;;"Eu sou Dragões sou do nordeste. Não se avexe muié. Sou cabra da peste. Meu Padin Ciço dai me forças pra lutar. E peço a Deus pra me abençoar.
Quando olhei a terra ardendo. E o sol rachando esse chão. Me falta água pra beber. O gado morre seco no sertão. Tamu avexado de tanto sofrer. Pra conseguir nossa alimentação. Amor a cidade me fascina. Do Cordel vem a inspiração. O sanfoneiro toca esse baião.
Olha que isso aqui ta bom demais. Eu só quero um xodó. Pular fogueira Iaia. Andei por  esse país. Salve a cultura da minha raiz.
Quem sabe um dia. Um lindo castelo eu farei. Você a rainha e eu meu benzinho seu rei. Odores e sabores se espalham pelo ar. No toque do maracatu. Tem frevo e arrasta pé. Voa minha asa branca sobre essa procissão. Cantamos numa só voz. Somos os reis do sertão."
Dragões do Castelo;Samba-Enredo;2019;;"A Dragões vem ai pra sacudir. Contar o amor entre o sol e a lua. Com alegria nasceu a constelação. Salve o planeta, e sua criação.
Vem brilhar na sutileza dos meus versos. Deuses dando vida a uma paixão. Por um golpe do destino a desilusão. No céu estrelas a bailar. Raro momento, num eclipse, se encontrar. O fogo a iluminar, a chama para aquecer. Sagrado inexplicável. Mãe terra nos premiou com a natureza. Rara belezas e riquezas. Os “encantados” contra a devastação.
A brisa pairou, o vento soprou a nossa canção. Levanta a poeira sem eira nem beira. Transformação. Porém poluído, último suspiro, renovação.
Suavemente brota água desse chão. Mares e oceanos, tamanha imensidão. Rios e lagos se formaram pela terra. Somos guerreiros. Combatendo essa guerra. Então estarrecidos com a visão. Formas de vida assim nasceram. Salve a mais bela criatura. E o criador os ensinou. Fraternidade, partilhar e conviver."
Dragões do Império;Samba-Enredo;2019;;"Vai nascer um novo dia. Só com gente bamba!. Empunhando uma joia rara. Fiel Gavião, Morada do Samba. Palestra, já traz o verde na história. Paulista, um defensor ambiental. É cidadão Parintinense. Trabalhador, gente da gente. Religioso, temente a Deus. Que tudo faz, pros filhos seus.
Madre Maria Theodora. Vem abençoar. Que São Jorge nos proteja. Nossa Escola vai passar.
Em Presidente Figueiredo. Dispensa o chapéu Panamá. Com Linda, Neusa, suas Deusas. Num paraíso a preservar. O homem, sempre antenado com o novo. É pelo nosso povo, um apaixonado cultural. E hoje, muita emoção nessa avenida. Faz sentido a vida. Com a Bateria Imperial.
Dragões do Império, escola viril. Com Sandro Paulista, perreché do Brasil."
Em Cima da Hora;Samba-Enredo;1974;;"Desde o tempo do cativeiro. A magia imperou. Os negros vieram da África. Com sofrimento e dor.
E chegando à Bahia. Bahia de São Salvador ô ô ô. Os negros pediam aos deuses. Pra amenizar a sua dor. Nas noites de lua cheia. Eles cantavam com fervor.
Arerê caô meu pai arerê. E nas noites de magia. Pretos velhos festejavam. O grande mestre oxalá. E a rainha Iemanjá.
Num batuque de lamento. A noite inteira sem cessar. Eles festejavam os deuses. Cantando pra não chorar."
Em Cima da Hora;Samba-Enredo;2019;;"Em Cima da Hora o povo te abraça. Orlando Baptista um samba de amor. Mestre dos mestres, o nosso locutor!. Que a rádio eternizou.
Sopra o vento. Pelos oceanos navegar tanto mar!. Caminho para as índias encontrar. Almirante dos mares, tantas terras, lugares. Cruz de malta a tremular. Sonhava o menino, cumprir seu destino. Ser Vasco da Gama, tua sina é lutar. Nesse mundo aventurar.
Sonha, menino, sonha. Em ser um conquistador. De tanto sonhar, menino. Teu sonho realizou.
Lá no alto da pedreira, cão!. Mora a justiça verdadeira, de seu pai xangô. Um raio clareia pra iluminar teu caminhar. Foi retratando as emoções de cada um de nós. Com sua voz presente em tantos mundiais. Apaixonado pelos gramados. Urubu rei, seus eternos rivais. Voa com a águia altaneira. Canta Cavalcante com emoção. Vem da arquibancada o grito de campeão!."
Embaixada Copa Lord;Samba-Enredo;2018;;"Do imenso oceano de leite. Insano deleite ao paladar. Entrelaçado em madeixas, se fez a magia. Aroma que deixa um quê de poesia na cultura milenar. Desperta o sonho da eternidade. Com seu poder de majestade. Simboliza o ódio e o amor. Sagrado destino. Guiou seu caminho aos pés do Senhor.
Ê manjericão, velho feiticeiro. O sabor do teu tempero deu o que falar. Levanta essa taça pra dar a resposta. Voar do jeito que a bruxa gosta.
Um cheiro tão bom na brisa do mar. Leva meu samba a navegar. Perfuma a canção, dói no coração. Viola é que me faz chorar.
Pra vencer todos os prantos, clareia!. Feito o gosto da paixão, incendeia!. Firma o ponto, mandingueiro. Lava a alma no terreiro. Como manda a “guerreira”.
Ôôô... Baiana e porta-bandeira. Ôôô... Mãe de santo e rezadeira. Girando em um mesmo ritual. Derramando axé no carnaval.
Dando um banho de fé, eu levanto poeira. Meu morro da caixa não é brincadeira. Dando um banho de amor, a avenida sacode. É Copa Lord, é! É Copa Lord!."
Embaixadores do Ritmo;Samba-Enredo;2013;;"Vai bombo leguero. Couro e madeira, tambor guerreiro. Embaixador faz o tempero. Tão gauchesco, tão brasileiro.
Eu sei que não vou morrer. Meu coração galopante. Eternizou a história. Escrita num pago distante. Qualquer guri vai achar. As marcas da peleia neste chão. Fé e fogo no rincão. Campeando a fronteira. Altaneira, querência guerreira. Destemida, se fez capital. E o sangue derramado na trincheira. Estampa a glória na manchete do jornal.
Vou de pala pra coxilha, vou tocar a minha vida. É a lida que me guia no campo a sonhar. Este sonho que me leva. Pra fazer a minha tropa desfilar.
Solito neste solo verdejante. Se perde no horizonte meu olhar. Floresce nesta terra a todo instante. Riquezas que iluminam o meu lar. E as ruas onde o povo vai passar. Vai cavalgar e vai sambar. Na terra que eu amei desde guri. Guris como João, Osvaldo e Celestino. Passarão na avenida e o Mário passarinho. Voa seguindo o rumo do próprio coração. No sangue tem a alma e as origens do galpão. Abençoa a família. E o canto dos ginetes. Conceição aparecida. Ilumina o alegrete."
Engenho da Rainha;Samba-Enredo;2019;;"Desperta, rainha n'zinga, matamba. Nas folhas de um sonho a minha lembrança. Negra era a noite nessa imensidão. Cruzei o mar da ilusão. Africanizei o meu destino. Aportei no cais e conheci a dor. Ao som dos tambores, festejos, louvores. Ôôôô.
Reluz a riqueza, cortejo de luz. O brilho do olhar conduz. O vento alastra, acende a chama na candeia. Vai trovejar, tem lua cheia.
Pembelê, matamba, ela é oiá. Ilu ayê, oiá. Óh mãe guardiã, senhora do fogo. Trouxe esperança ao nosso povo!.
Segui por caminhos que não temia. Ouvi o som da floresta ao entardecer. Um suntuoso palácio, onde reinava o axé. Eu de joelhos lhe peço perdão. Corre em seu rosto um pranto de amor. Negra mulher, é ela. D'bantu ou da favela.
Canta Engenho da Rainha. Meu fio de contas, meu kelê. O vento que sopra e limpa avenida. É de ginga, é de angola, ê!."
Escola Virtual da Amazônia;Samba-Enredo;2017;;"A resenha tava boa mas eu tenho que partir. Vou-me embora dessa banda. Mas tou sempre por aí. Tou na arte encarnado na cultura popular. Sou a voz e a resistência vendo a eva desfilar.
Sem meias palavras vou me apresentar. Não trema não, pois só vamos conversar. Me chamo virgulino. O mais temido cangaceiro do sertão. Tá vendo esse chapéu de couro. A carabina, o punhal e o gibão?. Marquei esse reinado. De terra de chão rachado. Sob a luz de um lampião.
Fui lá embaixo conhecer o coisa ruim. Mas teve medo d’eu roubar o seu lugar.
Não deu conta não de me derrubar.
Sem ninguém notar. Eu subi pra ser julgado. Ferrabrás foi enviado, queria me ver queimar. Nossa senhora, és minha proteção!. Não pude ficar no inferno ou no céu. Voltei nas coisas do sertão.
Maria, flor bonita do cangaço. Feito em bonecos de barro. Moldamos o nosso amor."
Esquadra da Indepa;Samba-Enredo;2017;;"Lá vem minha esquadra. Me contagia tanta emoção. É garra, é força. Raça de campeão!.
Tô garantido, tô caprichoso. Tô no Indepa, amor. Onde o samba é mais gostoso!.
É no balanço que eu vou pra marujada. Levando a toada pras rezas do pajé. Num rito de fé e devoção. Que mostra a cultura de um povo.
Amo do boi, chama a sinhazinha. Bumba meu boi, meu boi bumbá. Exuberância peculiar.
Moça bonita, cunha porá angá. Tuxaua mandou chamar pra consagração. Tribos garantido e caprichoso em união. A vaqueirada vai passar. Ué, boi.
A galera a levantar, já foi. A maior festa da Ilha da Alegria. Quanta magia solta no ar. E Parintins, toda vermelho e azul. Hoje cantada no sambódromo em Bauru.
Sou zona oeste, meu samba cresce. Independência é o meu lugar. Meu santo é forte, nele tenho fé. Jamais irei remar contra a maré. Respeita, malandro, é a Indepa, mané."
Estácio de Sá;Samba-Enredo;2015;;"Deixa falar, aqui é Estácio. Bem no compasso. O berço do samba eu sou. Parabéns meu Rio!. Continua lindo. Continua sendo meu amor.
Eu sei que você me conhece. Meu nome é Estácio de Sá. Reconquistei com orgulho esse chão. Muito mais que inspiração. Escolhi pra ser meu lugar.
O pôr do sol mais dourado. Deita-se na Guanabara. Dorme entre o mar e a montanha. Nos braços do criador. Que abençoa a todos com o nosso jeito. De ser carioca, alegre, festeiro. Levando o Rio pra sempre no peito.
Quando a pomba anunciou,. A festa começou. Chovem confetes pela cidade. Na fé do negro,. Ê povo batuqueiro. Ecoa aqui o grito de liberdade.
No rio, a poesia e os violões. Passeiam nas canções e o samba fez escola. A emoção de um gol se espalha no ar. Aros do esporte se entrelaçam. E o mar de esperança encontra Iemanjá.
Se você quer matar-me de amor que seja aqui. Olha meu povo chegando. Medalha de ouro na Sapucaí. Pra cantar e cantar e cantar. Não dá mais pra segurar. A saudade apertou e agora vou voltar."
Estácio de Sá;Samba-Enredo;2016;;"Sou teu fiel seguidor, meu cavaleiro. Por dia mato um dragão, sou brasileiro. Estácio veste seu manto carregado de axé. Salve, Jorge! Guerreiro na fé.
A pé eu vou. Empunhando a lança do santo guerreiro. Sou eu mais um filho de Jorge. Nesta legião, herdeiro fiel. Vou seguir na missão. Na Capadócia nasceu o menino. Lutou, enfrentou desatino do imperador. O ser amado, admirado. Invencível defensor.
Estou vestido com as armas de Jorge. Meus inimigos não vão me alcançar. Tu és bondade pelo mundo inteiro. Santo padroeiro igual não há.
Rogar teus milagres em devoção. Fazer a criança virar um leão. Em proteção orai ao glorioso pai. Mesmo da lua por nós olhai. Amanheceu, a alvorada anuncia. Divina alteza, senhor da cavalaria. Prepare o feijão, ê baiana, põe tempero. Dá no couro, batuqueiro. Pra minha Estácio de Sá. Fazer da avenida seu altar."
Estácio de Sá;Samba-Enredo;2019;;"Bendito seja sou o fruto do senhor. Santificado nazareno do amor. Oh! Pai, oh! Virgem Maria. Abençoai seu peregrino em romaria. De joelhos no altar lhe oferto. Meu poderoso eu peço. Sua graça em comunhão. Procuro estar em sua companhia. Para curar minhas feridas. Confortar meu coração. Do fogo reluz Ave Sagrada. Meu Deus de tantas moradas. Um fiel em devoção.
Senhor. Senhor é divino, é encanto. O canal de amor. Para unir dois oceanos. Um panamenho estaciano filho seu. A imagem e semelhança sou eu.
Pai nosso da negra tez. Sagrado Rei dos Reis. Obatalá. Rege o palanque em procissão. Devotos clamam em oração. Pra vitória conquistar. Amém, os tambores. Vão rufar pra louvar. E levar a minha Estácio de Sá. Sua gloria alcançar.
A fé que embala a alma. Emerge das águas. Trazendo esperança. O Cristo negro salvador da cruz. Protetor da humanidade. Caminho de luz."
Estado Maior da Restinga;Samba-Enredo;1981;;"De repente, não mais que de repente. Eu fui sentir o soneto da hora final. Partiu o pai maior da poesia. Mestre em diplomacia. O Orfeu do carnaval.
No soneto da fidelidade. Encenou toda a verdade. Que fundamentou o seu ser.
Aulas infinitas de inconstância. Amor, misticismo e distancia. De receita de mulher.
Como ele não tinha confronto ao tema. Veja a garota de Ipanema. Musicada pelo velho tom. E como anjo o poeta nunca morre. Vou também tomar um porre. Perguntar e agora vou.
Vem pra sempre do infinito. Enquanto dure. Verso que sempre perdure. Pois prova que é liberdade. Vem com a restinga se unir a cantar. O poeta do declamar. E da linda canção felicidade.
Tristeza não tem fim. É o que o poeta maior vem ensinar. Felicidade sim. O meu povão na avenida. Alegre vai cantar."
Estado Maior da Restinga;Samba-Enredo;1992;;"Traga o meu colar de contas para iemanja benzer. Lerere, ierere, ierere.
Tá na hora do show da vida começar (vai começar). É a Tinga novamente. Há muito que te quer mostrar. Coisas que dormem no tempo. E o próprio tempo despertou.
O mar, oh o mar. Misterioso mar, misterioso mar. Que desagua na folia. Como é doce recordar.
A lendária história conta. Que foi Netuno o grande criador. O escolhido entre o deuses. E que Atlântida criou. O palácio de prata e dourado. Onde o seu filho reinou. O cavalo alado e a terra fértil com amor.
Ele vem girando se deitar na areia. Na areia exumar, na areia.
Cantam iaôs, louvando a sereias do mar. Mãe Iemanjá, mamãe Oxum hoje vão cantar. Um só por todos e todos por um."
Estado Maior da Restinga;Samba-Enredo;2000;;"Os monarcas assinaram o tratado de Madri. Invadiram o solo guarani. Mas a força de um povo não se rendeu. Porque esse chão sempre foi seu.
Sepé Tiarajú deu seu grito de guerra. Esta terra já tem dono!. Já tem dono esta terra!. Vem com a Restinga. Festejar a vitória da cidade. Brincando eu digo a verdade.
Tinga, meu amor. São João Baptista vem dizer que te adorou. Tu és eterna, a comunidade chama. Tinga teu povo te ama.
Brilhou a luz de São Miguel. Ao som de hinos de louvor ao criador. Meu cisne mostra o show. Com águas cristalinas. Gira baiana, leva axé pra essa avenida.
A população então crescia. Era preciso uma nova redução. São Miguel com a sua luz divina. O jardim do Éden encontrou.
Padre Antônio Sepp foi o escultor. Da terra prometida pelo nosso criador. Na extensão do paraíso. Vou cantar com emoção. Restinga embala o meu coração.
Ás margens do arroio, é São João Baptista. Plantaram a cruz e a pedra monumental. Ofícios e o barroco missioneiro. Trazem a cultura para este carnaval."
Estado Maior da Restinga;Samba-Enredo;2001;;"Requebra as cadeiras ai. Mascarado também vou ficar. Se mostrar tua face pra mim. Restingando eu vou desvendar.
Vem brincar, cantar. Soltar alegria, extravasar. Sou tinga e dai, não vou negar. Outra face na avenida. O cisne hoje vem mostrar.
Máscaras em volta. A lenda avançou. No tempo se eternizou. Homens despertam outra personalidade. No afã da liberdade. Bacanais e saturnais. Onde surgiu o carnaval. Consagração ao Deus pan. Permanece ainda o fogo sagrado. Palpitando em nossos corações.
Chegando a mãe louca. Já to louco que sufoco. A deusa da folia. Vem brincar no carnaval.
A deusa vem brincar no carnaval. A noite em Veneza era tradição. Arlequim e colombina. Prolongavam traição. Traído era pierrô. Praça são marcos era parte do amor."
Estado Maior da Restinga;Samba-Enredo;2012;;"Faz bem pra alma e pro coração. Deixa o meu samba te embriagar. Um sentimento sem moderação. Eu sou restinga.
Mania de erguer a taça. É o cisne, o meu orgulho. E meu maior prazer. Tingiu sua história de amor e de raça. Brindando vitórias, o povo se abraça. Em linda comunhão. É festa, luta em louvação. É o vinho, mitologia, caminho, filho de Zeus. Divinos cachos, passos. Baco em taças de ouro. Fez da sagrada cultura. O néctar da humanidade. Transbordou o velho mundo. E foi ganhando brasilidade.
No sul foi se espalhar. Missões a consagrar. Se apaixonou por essa terra. Subiu a serra e tanta qualidade fez brotar.
Mãos imigrantes nutriram o sonho. Brotou alegria. Ramos florescem, saber à altura. No gelo , a joia madura. Pelo velho chico, um jovem sabor. Meu rio grande projetou. Passado, presente, valor sem igual. Heranças do tempo colonial. Festa da uva, a nostalgia de caminhos de pedra. Os velhos trilhos da maria fumaça. Simbolizando, a história me espera. Tem cheiro de festa no ar. Exala o sabor que me chama. É hora de comemorar. Tinga, teu povo te ama!."
Estado Maior da Restinga;Samba-Enredo;2015;;"Vou navegar nas águas desse mar. Deixar a vida me levar. E a emoção vai explodir. Quando eu cantar sou Tinga! E daí?.
Amor. Vem mergulhar na fantasia. É lenda, mistério, magia no ar. Na busca de um ouro vai se revelar. Corsários, piratas, sereia do mar. Meu cisne!. Foi ela que encontrou você, meu grande amor. Cidade tão exuberante. Em Torres tudo é fascinante. O astro fez do meu calor, minha inspiração. A vida de um povo com seus rituais. Sua natureza que ao mundo encantou. Se banhando nas curvas de um rio. Que Deus abençoou.
Soldado valente guerreiro à lutar. Eu sou. Batida tão forte que rufa o tambor. Anunciou. Sou tinguerreiro vencedor. Meu escudo é tricolor.
Na tribo o amor acabou. E o farol, de longe o imigrante avistou. A fé na minha religião. Por total devoção na igreja eu senti. Sonhei, fiz um turismo, viajei. Pintei, Torres na tela de Debret. É pesca, é sol, é verão. Vai subir o balão,. Só faltava você. E na gastronomia, tudo é maravilhoso. É festa, feliz ano novo!. Uma índia eu avistei. Abraçada sobre um violão. Lágrimas de paixão. Amor que se iguala ao meu pavilhão. É a Tinga do meu coração."
Estrela do Terceiro Milênio;Samba-Enredo;2019;;"Canta, zona sul. A festa vai começar. Milênio é coragem!. Mete a mão, batuqueiro. No rufar do seu tambor. Leva essa mensagem ao mundo inteiro!.
É hora de voar. Me acolhe em suas asas, minha coruja. Iluminei meu caminhar. Com a chama acesa no peito. Pra vencer, realizar. Enfrentei batalhas e tormentos. Foi preciso coragem, se arriscar. Derrotar o forte, fazer a história. Não temer a morte, pra viver a glória. Seguir com fé desafiando a opressão. E compor a linda sinfonia da superação.
Somos nós que fazemos a vida. O impossível pode acontecer. Acreditar, querer e lutar. O sonho vai resplandecer!.
Vestido de esperança. Com paixão de um anjo protetor. Pela paz combati sem a guerra. Por justiça, plantei igualdade e amor. Hoje, sob a proteção de jorge. Meu Grajaú se faz mais forte. Liberta esse grito preso na garganta. Quero respeito! Chega de intolerância!. Por todas as crenças e cores. Por todos amores. Eu faço meu samba!."
Estrela Sambario;Samba-Enredo;2016;;"O tempo se propaga no vazio. Escorre sombrio por esse lugar. São almas que vagam acorrentadas. Ao desejo de vingança. Onde a ganância fez morada. Brilhou na escuridão a luz interior. E o mundo ao ser criado se espelhou. No Deus que habitou o ser humano. E ensinou o voo para a liberdade. Mas o homem provou da ambição e da maldade. A criatura então quis ser o criador. E a ira de um trovão se derramou .
Ôôô... Quando a terra virou mar. A fúria das águas veio castigar . Mas o ser divino o céu pintou. Recriou a vida com o seu calor .
Mas a paz ali não duraria. O espanhol numa sangrenta invasão. Montado em sua cavalaria. Legou os guerreiros à escravidão. Em dias de terror e sofrimento. Clamaram do lamento, a salvação. O grito esperado se ouviu. E a maldição ao invasor se cumpriu . Voar... bater as asas, se libertar. Poder voar, e encontrar. Lá no azul do infinito. O encanto de um futuro mais bonito. Metamorfose do meu carnaval .
Vem se transformar. Embarcar nessa viagem . Minha estrela vai brilhar. A alcançar a liberdade. Minha estrela a brilhar. O símbolo maior da liberdade."
Experimenta da Ilha da Conceição;Samba-Enredo;2015;;"Através dos tempos. Grandes civilizações. Procuram respostas dentro das constelações. Nascer e viver, plantar. Colher, como será?. Vamos perguntar aos astros. Certamente nos dirá.
Signo de áries é fogo. Touro, gêmeos, câncer ou leão. Experimenta, vem no comando do zodíaco. Para revelar sua visão.
Na evolução, mistérios a desvendar. Estudar planeta, terra, fogo, água e ar. A aurora boreal, o arco-íris, que esplendor. Já decifrei, meu mapa astral. Sou um grande vencedor.
Sou aquariano, gosto de sambar. Porque o samba está no meu DNA. Sou experimenta, meu signo vai brilhar. No carnaval eu vou zodiacar."
Experimenta da Ilha da Conceição;Samba-Enredo;2019;;"Olinda em festa no meu coração. Com Experimenta da Ilha da Conceição. Cabra da peste, arretado, sangue forte. Pernambucano, sou leão do norte.
Menino sonhador eu vou. Vivendo em brincadeiras. Ao som de clarins e zabumbas. Espalho amor pelas ladeiras. Tem pé de serra raiz, xote e baião. Na mão do mestre o barro é criação. Com alegria, o povo, no batuque embala. Desperta pro o galo da madrugada.
Batuqueiro tem a fé e proteção. O homem da meia noite vem puxando esse cordão. Das senzalas, do engenho ao folguedo. O maracatu enfeitiça o cortejo.
Gigante a tradição nordestina. Lá vem zé pereira e vitalina. Pulsa vibrante a massa. Invade as ruas, os bailes e praças. E os mamulengos lá de Glória do Goitá. Nos fazem viajar na fantasia. De sombrinha e papangu, tá formado o sururu. Vou pra dentro da folia.
No dobrado e na ginga do capoeira. O passo do frevo levanta a poeira."
Favela do Samba;Samba-Enredo;2019;;"O céu iluminou, tambor rufou. Com as graças do Senhor. O Anjo Haaiah festejou. Magos em legião abençoaram. Astros do universo se alinharam. Para o Viajante Cometa Divino. Chuva de estrela e meteoro acompanharam. O nascimento do Rei Menino. Com a missão de servir, a paz semear. Seu conhecimento compartilhar. Com a força da Terra (Mãe Gaia), água, fogo e ar!.
Sou Xamã, Sacerdote Carcará. Meu tambor sagrado vai ecoar. Eu vou proteger a sua jornada. Afastar o mal pra sua chegada.
Sou Xamã, Sacerdote Carcará. Meu tambor sagrado vai ecoar. Eu vou proteger a sua jornada. Quem é favelence ajuda na caminhada.
A sua arte é como um raio de sol. Que emana luz feito o clarão da lua!. Um mundo de imaginação. Mestre, designer da criação. Reciclando a vida o Armorial criou. Ninho nordestino com sotaque de amor. Se coreira pungou, bumba meu boi urrou. O artista aplaudiu, um reggae dançou. Com a proteção do Divino pela Favela se apaixonou!. E aquele sonho que você não realizou. Renasce das cinzas, em quem tanto te amou. Em uma linda história de seres encantados. Você se eternizou.
Sua alma ainda vive Jesiel. Em tudo que lembra você. A voz da arte que não cala. Vida que o tempo não faz esquecer!."
Feitiço do Rio;Samba-Enredo;2018;;"É bom ser criança na imaginação. Que sonha e avança rumo à ilusão. Encanta Feitiço e torna real. As peças do jogo no meu Carnaval.
A lua enfeitiçada tem magia. No mundo de fantasia vem trazer inspiração. Menino, que brinca durante o dia. Para sua alegria a noite tem mais emoção. Os olhos se fecharam lentamente. É tão inocentemente neste sonho se entregou. Ouviu chamar, mais de uma vez. Ditando as ordens a nobreza do xadrez.
Simbora moleque, vem com a gente brincar. Em devaneios, vem viajar. Peão guerreiro, cavaleiro e valente. É peça principal no Tabuleiro da Intendente.
Mistérios no ar, no reino da encantaria. De preto e branco, a dama desaparecia. Do perfil veio um palpite, logo virou detetive. Um novo caso assim surgia. Menino sonhador, faceiro. Fez do seu travesseiro sua proteção. Na vitória mata a sede. Navegando no oceano de fascinação. Raiou o Sol, no despertar de um novo dia. Realidade ou fantasia?. Sorte nos dados que viraram seis e seis. Guri resta só um impasse. Mais uma casa e xeque mate. Venceu de novo, vamos jogar mais uma vez."
Feitiço do Rio;Samba-Enredo;2019;;"Ecoa. O som do lamento do corpo sofrido. Da dor e tormenta de um povo aguerrido. Jogado à escravidão. Ressoa. Tambores de tribos sangradas na guerra. Humanos lançados numa nova terra. Feridos na garra da pura ambição. Explorado pra trabalho. Alienado em mercado a Senhor. Açoitado nos sobrados. Naquela pedra onde o sal tem mais valor.
Mercadoria, objeto. Sem liberdade e amor. Mas sua crença é sagrada. Tem um santo que é forte e alivia a sua dor.
E no granito, mãos e picareta. Ao braço, cavada degrau a degrau. Pequena África, no cais do Rio. Surgia, ali, a pedra do sal. De cabarés, botecos, boemia. O berço do samba, é felicidade. O adarrum retumba no atabaque. Quebrando a corrente da desigualdade.
Gira baiana, mãe do samba. Gira Ciata no terreiro de Alabá. Sente o batuque, de gente bamba. Lava a Avenida, que o Feitiço vai passar."
Fla Manguaça;Samba-Enredo;2019;;"Mengo,Mengo. É a hora do canto da massa. Canta Fla Manguaça . Ao meu eterno amor.
Ele é o que nunca se entrega . Aquele que diz que a glória e lutar. O velho marinheiro que navega. E chega na terra, festeja o mar. Vestiu o rubro quando ouviu o preconceito. Pois ser tão negra é pra gente se orgulhar .
Meu urubu é o rei, ganhou a nação . Soberano no infinito . Eternamente campeão.
Símbolo maior de igualdade . É a alma da favela a nossa identidade. Garra e atitude. A flor da pele o valor da negritude. Hoje 50 anos depois. É nossa marca, nosso sangue, nossa história.
Vamos sacudir a arquibancada. Pede mais uma gelada . Para saudar outra vitoria(do Flamengo)."
Flor da Mina do Andaraí;Samba-Enredo;2018;;"Salve Cosme e Damião. Por me proteger. Sou criança Flor da Mina. Só quero vencer. Aos gêmeos vou pedir. E esse dia nunca acabar.
Ontem eu dormi mais cedo. Nem do escuro tive medo. Meus santinhos Iriam me guardar. Amanheceu, o galo já cantou. Nem sei por onde começar. Separei chinelo e sacola. Já que não vai ter escola. Fui ao vizinho que ofertava à ibejada. Doces pra Florzinha e Pedrinho. E brinquedos pra criançada.
Iemanjá, cadê Doum?. Foi vadiar em busca de doçura. Tem quindim e tem cocada no gongá. Na festa das crianças. Nada vai faltar!.
Depois fui visitar papai do céu. Fechei os olhos, levantei a mão. Vovó me ensinou a ter gratidão. Aos anjos, pedi pelas crianças. Filhos da vida e do destino. Irmãos da esperança. Ao morro volto contente. E corro pros braços da minha Flor. Da mina, onde jorra a alegria. Brota felicidade e amor."
Flor da Mina do Andaraí;Samba-Enredo;2019;;"Carioca eu sou, malandragem. Fiz dessa floresta a minha paisagem. Um rio de amor pra gente sorrir. Com a Flor da Mina do Andaraí.
Ita Hangá. É pedra, é lenda Tupinambá. E Deus Tupã vai me guiar. Nessa sublime natureza. A fauna, a flora sem igual. As águas, sagrada criação. A floresta e seus encantos. Da Tijuca, o coração.
E pelo mar chegou família real. Ê negro café, a devastação. Nos canaviais, é só agonia. Lata d’água na cabeça, lá vai Maria.
O suor em cada grão. Da escravidão refloresce a vida. Salve o Barão que decretou afinal. O sonho de um Parque Nacional. Os portões se abrem ao lazer. De braços abertos, meu cartão postal. Vislumbra a beleza da vista Chinesa. A nossa riqueza virou carnaval. As pipas bailando em linda aquarela. No swing da favela."
Flor da Primavera;Samba-Enredo;2019;;"Eu me embalei nessa folia. De azul e branco no calor da bateria. E o poder que vem da floresta. Desabrocha nessa festa.
Na flora dos meus ancestrais. Soluções medicinais. Nesse mundo verde. Fonte do saber. Cura para alma, eu vou me benzer. O vento sopra, a folha cai. Os frutos que brotam. São bênçãos do pai. Semeio um jardim, uma quimera. Flor tão bela flor da primavera.
Okê, Arô, Okê, Arôle. Oxóssi é caçador, ôô. Logun Edé lançou a flecha. Firma o batuque no meu tambor.
No olhar de Pssain segredos. Macero as ervas que quebram o medo. Lendas, mistérios e magias. Na sabedoria do velho pajé. No alvorecer de cada dia emana fé. Sou dono da terra, o filho do chão. Caboclo guerreiro com a lança na mão. Na essência de Ewá, divina proteção.
Salve a preservação."
Flor da Vila Dalila;Samba-Enredo;2019;;"Os arautos anunciam. Minha vila vai passar. Dalila, a mais bela flor da minha vida. Da zona leste, a mais querida, a desfilar.
Viajei através das civilizações. Em busca do ouro para alcançar. A sabedoria milenar. Meus sonhos dourados. Vi nas areias do Egito. Reluz nas dadivas do Nilo. É sedução, mistério e fascinação.
Do olho de Hórus senti o poder. A música veio me purificar. Mumificando o corpo; minha alma. Vai se eternizar.
Vi a escrita nascer. Com a vida dos faraós. No berço da humanidade. Nesse luxuoso cenário. Surge o vinho a cerveja e nosso calendário. Vem, amor, tire o véu de Ísis não me leve a mal. Decifra-me ou devoro-ti no carnaval. Vestida de flores a rainha vem sambar. Aplausos a essa nossa linda trajetória. 45 anos de história, vamos comemorar."
Flor de Lótus;Samba-Enredo;2017;;"Em procissão, lá vem o povo. Movendo montanhas em estado de graça. É a flor de lotus, poesia de amor. Meu céu nessa terra é ela que passa.
A fé purifica a alma. Acalma ante a provação. É luz pra guiar sua estrada. Traçada em peregrinação. Destino a desbravar e um novo mundo encontrar. Para honrar o Criador. O jesuíta a caminhar. Ao horizonte (ôô) enfim partiu (ô ô ô). Rumo a terras portuguesas Salvador, Brasil!.
A pena que escreve o cocar. É a pena que enfeita o falar de José!. Um sentimento que invade o coração. Do peregrino da fé.
Voou por tabas de branco. Plantando orações foi rompendo grilhões. Eu sei que até hoje abençoa. Nossa terra da garoa. A paz e a liberdade que ele deixou na beira do mar. Ficaram gravadas na areia pra eternizar. Feitos e glórias num lindo poema. Afago que acena ao meu coração. Os passos de Anchieta. São caminhos pra devoção."
